,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
32,ASUS TUF Gaming A15 FA507RM-HN058 32GB램,미포함(프리도스),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.133572200350764,447.70600002560315,1370000.0
33,ASUS TUF Gaming A15 FA507RM-HN058 64GB램,미포함(프리도스),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.294862522931409,406.1201627697683,1550000.0
34,ASUS TUF Gaming A15 FA507RM-HN058 WIN11,윈도우11(설치),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.052927039060441,488.13927734358396,1330000.0
35,ASUS TUF Gaming A15 FA507RM-HN058 WIN11 32GB램,윈도우11(설치),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.133572200350764,468.21161834738655,1400000.0
36,ASUS TUF Gaming A15 FA507RM-HN058 WIN11 64GB램,윈도우11(설치),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 64GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.294862522931409,419.65750152876063,1590000.0
37,ASUS TUF Gaming A16 FA617NS-N4096 WIN11 16GB램,윈도우11(설치),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / 라데온 RX 7600S / TGP: 95W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,USB-PD,24162.0,9372.0,16.0,138.0,500.0,240.0,ASUS,6.303100198372747,423.80050820106146,1577280.0
38,ASUS TUF Gaming F15 FX506HF-HN001,미포함(프리도스),인텔 / 코어i5-11세대 / i5-11400H (2.7GHz) / 헥사(6)코어,DR4 / 램 용량: 8GB / 3200MHz / 램 교체: 가능,외장그래픽 / RTX2050 / TGP: 55W / VRAM:4GB,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 48Wh / 어댑터: 150W / 충전단자: DC,2.3,,15856.0,3860.0,15.6,141.0,250.0,144.0,ASUS,5.640152540159755,538.1876296681986,1047990.0
39,ASUS 비보북 15 X1504ZA-BQ387,미포함(프리도스),인텔 / 코어i3-12세대 / i3-1215U (1.2GHz) / 헥사코어(2P+4E),DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / UHD Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 45W / 충전단자: DC,1.7,,11181.0,595.0,15.6,141.0,250.0,60.0,ASUS,5.189420016588094,1300.6065204481438,399000.0
40,ASUS 비보북 M1502QA-R5722D,미포함(프리도스),AMD / 라이젠7-4세대 / 5800H (3.2GHz) / 옥타(8)코어,DR4 / 램 용량: 8GB / 램 교체: 가능(1슬롯),내장그래픽 / Radeon Graphics,M.2(NVMe) / 256GB,배터리: 42Wh / 어댑터: 65W / 충전단자: DC,1.7,,20510.0,1299.0,15.6,141.0,250.0,60.0,ASUS,5.337459968228647,1037.8711509962952,514270.0
41,ASUS 비보북 S 15 OLED K5504VN-MA113W,윈도우11홈,인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),PDDR5(온보드) / 램 용량: 16GB / 램 교체: 불가능,외장그래픽 / Arc A350M / VRAM:4GB,M.2(NVMe) / 512GB,배터리: 75Wh / 어댑터: 90W / 충전단자: DC,1.7,USB-PD,30294.0,1445.0,15.6,141.0,600.0,120.0,ASUS,6.014984972067151,353.82264541571476,1790000.0
